stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
5120,56772,בית אבות/אלביאדר, רחוב:אלסעדיה  עיר: דבוריה רציף:   קומה:  ,32.691177,35.372053,0,,489
5121,56773,א. אלח'טאב/אלביאדר המזרחי, רחוב:א. אלח'טאב  עיר: דבוריה רציף:   קומה:  ,32.688608,35.372423,0,,489
5124,56776,אל ג'בל/אלנג'ארה, רחוב:אלג'בל  עיר: דבוריה רציף:   קומה:  ,32.689973,35.374820,0,,489
5125,56777,אלג'בל/אלנור, רחוב:אלג'בל  עיר: דבוריה רציף:   קומה:  ,32.693976,35.374921,0,,489
5127,56779,דבוריה, רחוב:אלעלאמאת  עיר: דבוריה רציף:   קומה:  ,32.693127,35.378325,0,,489
5128,56780,מסוף הר תבור, רחוב:  עיר: שבלי רציף:   קומה:  ,32.694284,35.385948,0,,913
5129,56781,מוכתר, רחוב:אלטור 171 עיר: שבלי רציף:   קומה:  ,32.694271,35.389529,0,,913
5131,56783,סאלם סדרן, רחוב:אלטור 111 עיר: שבלי רציף:   קומה:  ,32.693056,35.397219,0,,913
5132,56784,מתנ''ס, רחוב:אלטור  עיר: שבלי רציף:   קומה:  ,32.688546,35.402283,0,,913
5133,56785,סופר, רחוב:אלטור 51 עיר: שבלי רציף:   קומה:  ,32.685830,35.404681,0,,913
5134,56786,אבו צאלח, רחוב:אלטור 27 עיר: שבלי רציף:   קומה:  ,32.684958,35.406555,0,,913
5135,56787,תחנת משטרה, רחוב:אלטור  עיר: שבלי רציף:   קומה:  ,32.683473,35.409078,0,,913
5136,56788,צימרים, רחוב:אלטור  עיר: שבלי רציף:   קומה:  ,32.681215,35.409593,0,,913
5139,56791,מרכז מסחרי/יוסף ברזילי, רחוב:יוסף ברזילאי  עיר: עפולה רציף:   קומה:  ,32.619389,35.313980,0,,7700
5141,56793,פארק עירוני, רחוב:חטיבת כפיר 9 עיר: עפולה רציף:   קומה:  ,32.617840,35.310965,0,,7700
5143,56795,מסעף כניסה למנהרות, רחוב:60  עיר: נצרת רציף:   קומה:  ,32.692633,35.299729,0,,12355
5144,56796,שיבלי/כניסה, רחוב:אלטור  עיר: שבלי רציף:   קומה:  ,32.680425,35.409869,0,,913
5145,56797,עתאללה עאדל, רחוב:אלטור 18 עיר: שבלי רציף:   קומה:  ,32.684943,35.407727,0,,913
5146,56798,מכולת, רחוב:אלטור 44 עיר: שבלי רציף:   קומה:  ,32.685708,35.405073,0,,913
